Transaction Date,Transaction Description,Transaction Type,Debit,Credit,Balance
08/31/2025,Interest Paid,Credit,0,$0.25,$0.25
08/19/2025,Transfer To CHECKING 5195,Debit,$8.00,0,$2000.00
08/17/2025,Transfer To CHECKING 5195,Debit,$3.00,0,$2008.00
08/15/2025,Transfer To CHECKING 5195,Debit,$20.00,0,$2011.00
08/15/2025,Transfer To CHECKING 5195,Debit,$20.00,0,$2031.00
08/14/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$2051.00
08/13/2025,Transfer To CHECKING 5195,Debit,$51.00,0,$2066.00
08/12/2025,Transfer To CHECKING 5195,Debit,$27.00,0,$2117.00
08/12/2025,Transfer To CHECKING 5195,Debit,$6.00,0,$2144.00
08/06/2025,Transfer To CHECKING 5195,Debit,$51.20,0,$2150.00
08/06/2025,Transfer To CHECKING 5195,Debit,$100.00,0,$2201.20
07/31/2025,Interest Paid,Credit,0,$0.23,$2301.20
07/24/2025,Transfer From CHECKING 5195,Credit,0,$300.00,$2300.97
06/30/2025,Interest Paid,Credit,0,$0.82,$2000.97
06/10/2025,Transfer To CHECKING 5195,Debit,$50.00,0,$2000.15
06/04/2025,Transfer To CHECKING 5195,Debit,$1000.00,0,$2050.15
06/03/2025,Transfer To CHECKING 5195,Debit,$2500.00,0,$3050.15
05/31/2025,Interest Paid,Credit,0,$6.23,$5550.15
05/30/2025,Transfer From CHECKING 5195,Credit,0,$230.00,$5543.92
05/29/2025,Transfer To CHECKING 5195,Debit,$100.00,0,$5313.92
05/29/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$5413.92
05/29/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$5423.92
05/27/2025,Transfer To CHECKING 5195,Debit,$36.22,0,$5438.92
05/26/2025,Transfer To CHECKING 5195,Debit,$17.50,0,$5475.14
05/16/2025,Transfer From CHECKING 5195,Credit,0,$530.63,$5492.64
05/15/2025,Transfer To CHECKING 5195,Debit,$5.00,0,$4962.01
05/15/2025,Transfer To CHECKING 5195,Debit,$14.00,0,$4967.01
05/14/2025,Transfer From CHECKING 5195,Credit,0,$4980.00,$4981.01
05/13/2025,Transfer To CHECKING 5195,Debit,$25.00,0,$1.01
05/11/2025,Transfer To CHECKING 5195,Debit,$5.00,0,$26.01
05/11/2025,Transfer To CHECKING 5195,Debit,$7.50,0,$31.01
05/11/2025,Transfer To CHECKING 5195,Debit,$13.50,0,$38.51
05/09/2025,Transfer To CHECKING 5195,Debit,$27.00,0,$52.01
05/08/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$79.01
05/07/2025,Transfer To CHECKING 5195,Debit,$20.00,0,$94.01
05/06/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$114.01
05/06/2025,Transfer To CHECKING 5195,Debit,$71.00,0,$124.01
05/06/2025,Transfer To CHECKING 5195,Debit,$55.00,0,$195.01
05/05/2025,Transfer To CHECKING 5195,Debit,$150.00,0,$250.01
05/05/2025,Transfer To CHECKING 5195,Debit,$400.00,0,$400.01
05/05/2025,Transfer From CHECKING 5195,Credit,0,$800.00,$800.01
